Model,Estación,Producto,Month,RMSE,MAPE
catboost,ES10,GOA,Nov,0.0489958409708145,0.065476322880962
catboost,ES10,GOA,Dec,0.0579053409784832,0.4606755967583715
catboost,ES10,GOA,Jan,0.0437865205825706,28214678412864.45
catboost,ES11,95,Feb,0.013004235758739,0.0743983573987661
catboost,ES11,95,Mar,0.0133666175407386,0.0817165457221638
catboost,ES11,95,Apr,0.0144901476383499,0.0633703215382117
catboost,ES11,95,May,0.0086228698351604,0.0394904267640497
catboost,ES11,95,Jun,0.0090809687796986,0.0405025112173889
catboost,ES11,95,Jul,0.0411859110418884,0.1491224685876181
catboost,ES11,95,Aug,0.0375043315455679,0.1254640002318206
catboost,ES11,95,Sep,0.0205019929811567,0.0771879228322426
catboost,ES11,95,Oct,0.0211062799436306,0.1181900105842652
catboost,ES11,95,Nov,0.0075106384164769,0.0385485124404416
catboost,ES11,95,Dec,0.0085684176507231,0.043864575532478
catboost,ES11,95,Jan,0.0138241213685225,0.0949550054396838
catboost,ES11,GOA,Feb,0.0361253352942944,0.0494871992935287
catboost,ES11,GOA,Mar,0.0456281226633587,0.4494628100108523
catboost,ES11,GOA,Apr,0.0553977764279786,0.0767095365426795
catboost,ES11,GOA,May,0.0278449199656639,0.0428822054442358
catboost,ES11,GOA,Jun,0.0335725689568104,0.0507794116598783
catboost,ES11,GOA,Jul,0.0553508784272919,0.3155691176163541
catboost,ES11,GOA,Aug,0.0867876391194214,0.1015165406144011
catboost,ES11,GOA,Sep,0.0280841894371338,0.037757823268206
catboost,ES11,GOA,Oct,0.061342519493301,0.1163251243841401
catboost,ES11,GOA,Nov,0.0411339393249123,0.0742708910193865
catboost,ES11,GOA,Dec,0.0909525449436746,0.4270673400118801
catboost,ES11,GOA,Jan,0.0988629422691511,1.2854855727240326
catboost,ES12,95,Feb,0.0178110151734967,0.062186462721895
catboost,ES12,95,Mar,0.0119707017641608,0.0469820407549376
catboost,ES12,95,Apr,0.0235154831237485,0.0766160537970956
catboost,ES12,95,May,0.0141026128099588,0.0462276409364997
catboost,ES12,95,Jun,0.0133854322834425,0.0436092700534073
catboost,ES12,95,Jul,0.0213734870049823,0.0675702837696485
catboost,ES12,95,Aug,0.021802675566628,0.0696554520383178
catboost,ES12,95,Sep,0.0109313141784788,0.0341615635980366
catboost,ES12,95,Oct,0.0223066191634259,0.0846915636715711
catboost,ES12,95,Nov,0.0126321144535628,0.0492957758821489
catboost,ES12,95,Dec,0.0319723763929593,0.1161273115041195
catboost,ES12,95,Jan,0.0189823499476981,0.0725724747265377
catboost,ES12,GOA,Feb,0.0396485988090085,0.0528934244473274
catboost,ES12,GOA,Mar,0.0543932872303447,0.7420622853938049
catboost,ES12,GOA,Apr,0.0389571580568408,0.0541236869491844
catboost,ES12,GOA,May,0.0381738683394692,0.0512845982312833
